timestep,hour_of_day,day,p_load_mw,p_solar_mw,p_battery_mw,p_grid_mw,soc,v_min,v_max,v_mean,line_loading_max,v_severity,n_buses_below_090,renewable_pct,converged,blackout,severity,p_load_lag_1h,p_load_lag_3h,p_solar_lag_1h,soc_lag_1h,load_rolling_avg_6h,solar_rolling_avg_6h,v_min_rolling_min_6h,soc_rate_of_change,load_rate_of_change,load_solar_diff,grid_stress_index,solar_load_ratio,soc_deficit,v_violation_margin,net_power_balance,is_night,blackout_prob_ml,blackout_pred_ml,in_test_window,prediction_correct
50,2,2,1.622983,0.0,0.0,1.622983,0.1,0.963707,1.0,0.978418,0.0001,0.0,0,0.0,1,0,0,1.680713,2.392239,0.0,0.1,2.3167138333333335,0.0,0.923946,0.0,-0.05772999999999984,1.622983,0.7789576491700315,0.0,0.9,0.04370699999999994,-1.622983,1,0.0,0,0,1
51,3,2,1.611892,0.0,0.0,1.611892,0.1,0.963963,1.0,0.97857,0.0001,0.0,0,0.0,1,0,0,1.622983,1.956992,0.0,0.1,2.0381633333333333,0.0,0.931821,0.0,-0.011090999999999962,1.611892,0.7779624943921041,0.0,0.9,0.043962999999999974,-1.611892,1,0.0,0,0,1
52,4,2,1.62126,0.056885,0.0,1.564375,0.1,0.966024,1.0,0.979628,0.0001,0.0,0,3.51,1,0,0,1.611892,1.680713,0.0,0.1,1.8143464999999999,0.009480833333333332,0.94565,0.0,0.009367999999999821,1.5643749999999998,0.7693222173620456,0.035086886072014316,0.9,0.046023999999999954,-1.5643749999999998,1,0.0,0,0,1
53,5,2,1.790584,0.434588,0.0,1.355996,0.1,0.967577,1.0,0.984893,0.0001,0.0,0,24.27,1,0,0,1.62126,1.622983,0.056885,0.1,1.7140706666666665,0.08191216666666666,0.95594,0.0,0.16932400000000003,1.355996,0.7215645392552714,0.24270727164585876,0.9,0.04757699999999998,-1.355996,1,0.0,0,0,1
54,6,2,2.261771,0.919601,0.0,1.34217,0.1,0.963524,1.011919,0.987628,0.0001,0.0,0,40.66,1,0,0,1.790584,1.611892,0.434588,0.1,1.7648671666666667,0.235179,0.962372,0.0,0.471187,1.3421699999999999,0.683006921713773,0.4065843064641352,0.9,0.04352400000000001,-1.3421699999999999,0,0.0,0,0,1
55,7,2,2.612594,1.294937,0.0,1.317656,0.1,0.960366,1.027571,0.989529,0.0001,0.0,0,49.57,1,0,0,2.261771,1.62126,0.919601,0.1,1.920180666666667,0.4510018333333334,0.960366,0.0,0.3508230000000001,1.317657,0.6519289836249439,0.49565164137572026,0.9,0.04036600000000001,-1.317657,0,0.0,0,0,1
56,8,2,2.944882,1.621848,0.0,1.323034,0.1,0.956804,1.039859,0.990572,0.0001,0.0,0,55.07,1,0,0,2.612594,1.790584,1.294937,0.1,2.1404971666666666,0.7213098333333333,0.956804,0.0,0.33228800000000014,1.3230340000000003,0.6272588012561687,0.5507342736536561,0.9,0.03680399999999995,-1.3230340000000003,0,0.0,0,0,1
57,9,2,3.351426,1.83073,0.0,1.520697,0.1,0.950068,1.043328,0.988544,0.0001,0.0,0,54.63,1,0,0,2.944882,2.261771,1.621848,0.1,2.4304195,1.0264315,0.950068,0.0,0.4065439999999998,1.520696,0.6289228375953343,0.5462538793176757,0.9,0.030067999999999984,-1.520696,0,0.0,0,0,1
58,10,2,3.369945,1.477124,0.0,1.892821,0.1,0.945557,1.022382,0.982489,0.0001,0.0,0,43.83,1,0,0,3.351426,2.612594,1.83073,0.1,2.7218669999999996,1.2631379999999999,0.945557,0.0,0.018518999999999952,1.8928209999999999,0.6895188129205921,0.4383227505722644,0.9,0.02555699999999994,-1.8928209999999999,0,0.0,0,0,1
59,11,2,3.353819,1.22245,0.0,2.131369,0.1,0.942805,1.007221,0.978302,0.0001,0.0,0,36.45,1,0,0,3.369945,2.944882,1.477124,0.1,2.982406166666667,1.3944483333333333,0.942805,0.0,-0.016125999999999863,2.1313690000000003,0.7305175527142217,0.36449481486782237,0.9,0.022804999999999964,-2.1313690000000003,0,0.0,0,0,1
60,12,2,3.379987,1.109432,0.0,2.270555,0.1,0.940771,1.0,0.975922,0.0001,0.0,0,32.82,1,0,0,3.353819,3.351426,1.22245,0.1,3.1687755,1.4260868333333334,0.940771,0.0,0.026167999999999747,2.270555,0.751701844773441,0.32823548485970955,0.9,0.020770999999999984,-2.270555,0,9e-06,0,0,1
61,13,2,3.439237,1.124948,0.0,2.314289,0.1,0.939607,1.0,0.975387,0.0002,0.0,0,32.71,1,0,0,3.379987,3.369945,1.109432,0.1,3.306549333333333,1.3977553333333332,0.939607,0.0,0.059250000000000025,2.3142889999999996,0.7544321301031852,0.32709222217246964,0.9,0.01960699999999993,-2.3142889999999996,0,0.00014,0,0,1
